Month,RWI/ISL Container Throughput Index
Jan-07,73.0
Feb-07,67.6
Mar-07,74.1
Apr-07,76.3
May-07,78.0
Jun-07,78.2
Jul-07,80.2
Aug-07,81.2
Sep-07,80.8
Oct-07,82.0
Nov-07,80.3
Dec-07,81.2
Jan-08,79.8
Feb-08,73.0
Mar-08,81.0
Apr-08,82.3
May-08,83.6
Jun-08,83.0
Jul-08,85.6
Aug-08,85.9
Sep-08,83.8
Oct-08,84.3
Nov-08,78.3
Dec-08,74.5
Jan-09,67.2
Feb-09,59.2
Mar-09,70.3
Apr-09,69.2
May-09,72.5
Jun-09,72.2
Jul-09,75.4
Aug-09,76.6
Sep-09,76.7
Oct-09,78.2
Nov-09,77.1
Dec-09,78.6
Jan-10,78.0
Feb-10,70.6
Mar-10,81.2
Apr-10,81.7
May-10,86.4
Jun-10,86.0
Jul-10,89.5
Aug-10,90.0
Sep-10,86.7
Oct-10,86.5
Nov-10,87.3
Dec-10,85.5
Jan-11,87.6
Feb-11,74.7
Mar-11,87.2
Apr-11,89.7
May-11,92.9
Jun-11,91.2
Jul-11,94.8
Aug-11,94.5
Sep-11,91.8
Oct-11,93.3
Nov-11,89.6
Dec-11,91.8
Jan-12,90.0
Feb-12,81.6
Mar-12,92.1
Apr-12,92.3
May-12,96.9
Jun-12,94.7
Jul-12,96.6
Aug-12,95.4
Sep-12,97.8
Oct-12,95.3
Nov-12,92.7
Dec-12,94.3
Jan-13,94.1
Feb-13,81.7
Mar-13,94.4
Apr-13,95.1
May-13,98.5
Jun-13,96.6
Jul-13,99.9
Aug-13,99.3
Sep-13,96.9
Oct-13,97.1
Nov-13,96.1
Dec-13,95.5
Jan-14,96.8
Feb-14,83.7
Mar-14,99.1
Apr-14,100.5
May-14,102.5
Jun-14,101.5
Jul-14,103.5
Aug-14,103.8
Sep-14,101.9
Oct-14,103.1
Nov-14,100.5
Dec-14,100.3
Jan-15,99.0
Feb-15,89.2
Mar-15,101.6
Apr-15,100.9
May-15,103.1
Jun-15,102.2
Jul-15,103.6
Aug-15,102.6
Sep-15,99.9
Oct-15,100.6
Nov-15,98.4
Dec-15,98.9
Jan-16,98.3
Feb-16,90.5
Mar-16,99.8
Apr-16,100.9
May-16,103.6
Jun-16,103.0
Jul-16,104.4
Aug-16,104.8
Sep-16,102.0
Oct-16,103.7
Nov-16,103.7
Dec-16,104.7
Jan-17,104.8
Feb-17,92.5
Mar-17,108.0
Apr-17,107.6
May-17,111.5
Jun-17,109.9
Jul-17,112.4
Aug-17,113.1
Sep-17,111.8
Oct-17,111.7
Nov-17,110.8
Dec-17,110.9
Jan-18,112.0
Feb-18,101.4
Mar-18,110.8
Apr-18,111.3
May-18,117.6
Jun-18,114.2
Jul-18,117.4
Aug-18,117.3
Sep-18,114.3
Oct-18,118.3
Nov-18,114.2
Dec-18,116.0
Jan-19,116.8
Feb-19,100.6
Mar-19,115.7
Apr-19,115.9
May-19,118.6
Jun-19,117.2
Jul-19,121.5
Aug-19,120.0
Sep-19,117.8
Oct-19,118.9
Nov-19,114.6
Dec-19,112.6
Jan-20,115.5
Feb-20,94.8
Mar-20,110.9
Apr-20,107.4
May-20,108.9
Jun-20,111.1
Jul-20,118.9
Aug-20,120.1
Sep-20,121.7
Oct-20,126.5
Nov-20,122.3
Dec-20,119.3
Jan-21,123.9
Feb-21,106.9
Mar-21,127.2
Apr-21,123.5
May-21,127.4
Jun-21,124.2
Jul-21,124.8
Aug-21,126.5
Sep-21,123.9
Oct-21,125.3
Nov-21,122.4
Dec-21,120.5
Jan-22,125.3
Feb-22,109.6
Mar-22,126.3
Apr-22,121.7
May-22,128.0
Jun-22,128.4
